HotelBrandID,HotelBrandName
2751,"Legacy Hotels and Resorts, Southern Africa"
2752,Allia Hotels
2753,Celuisma Hoteles
2754,Doyle Collection
2755,Hoteles Globales
2756,Roc Hotels
2757,Sercotel Hotels
2758,Global Hotels & Resorts
2759,Mondo Hotels
2760,Elite Hotels of Sweden
2761,Profil Hotels
2762,Universal Resorts
2763,LA-Profil Hotels
2764,LA-First Hotels AS
2765,Second Home
2766,Solaris Hotels 
2767,Summit Hotels & Resorts
2768,Sky Backpackers
2769,Al Hotels
2770,Waterfront Hotels & Casinos
2771,Dedeman Hotels & Resorts International
2772,Value Hotels
2774,Pyramid Hotels
2775,Estanplaza
2776,"Libertador Hotels, Resorts & Spas"
2777,Zanhotel
2778,Arp Hansen
2779,Decameron Hotels
2780,Paloma Hotels
2781,Prestige Hotels
2782,Dorchester Collection
2783,Elite Hotels
2784,Idea Hotels
2785,Rixos Hotels
2786,Monrif Hotels
2787,Empire Hotel Group
2788,Promenade Apart-Hot�is
2789,Metro Hospitality Group
2790,Santika Group
2791,Hampshire Hotels
2792,Corinthia Hotels
2793,Citotel
2794,GHL Hotels
2795,Starhotels
2796,B&B Hotels
2797,Ballantrae Hotels
2798,Maldron Hotel Group 
2799,Alliance Alberghi
2800,Acqua Marcia Group
2801,Hoteles Dann
2802,Evenia Hotels
2803,Kosmopolito Hotels International
2804,Cairn Hotel Group
2805,Harbour Plaza Hotels & Resorts
2806,Veranda Leisure and Hospitality
2807,Sino Group of Hotels
2808,LUX Island Resorts
2809,LK Hotel Group
2810,Sunshine Hotels & Resorts
2811,Axel Hotels
2812,Rhombus International Hotels Group
2813,Porto Bay Hotels & Resorts
2814,Rex Resorts
2815,Sunway Hotel & Apartments
2816,SH Hotels
2817,Gargallo Hotels
2818,Best Hotels
2819,Charme & Relax
2820,PortAventura
2821,Omena Hotels 
2822,GCH Hotel Group
2823,Van der Valk Hotels
2824,Bastion Hotels
2825,Onahotels
2826,HAAG Hotels
2827,Ibis Budget
2828,Motif Leisure 
2829,Al Diar Hotels
2830,Beachcomber Hotels
2831,Starway Hotels
2832,Green Tree Inns
2833,Jinjiang Inn
2834,Qualys-Hotel
2835,P'tit Dej-Hotel
2836,Mei Jeu
2837,SPM Resorts
2838,Grand Mercure
2839,Night Hotels
2840,Mision
2841,El Cid
2842,Legacy Hotels
2843,Puma Hotels
2844,eLong
2845,Mona Lisa
2846,Bewleys
2847,Blue Diamond Resorts
2848,SORAT Hotels Deutschland
2849,Dormero
2850,Novum Group Hotels
2851,Vinuales
2852,Nordic Hotels
2853,Pentahotels
2854,Carlton Hotel Collection
2855,Sandton Hotels
2856,Sorell Hotels
2857,Azimut Hotels
2858,Village Center
2859,HDM - name change exception
2860,Attitude
2861,Dan Hotels Israel
2862,Aramark Conference Centers
2863,Warwick Affiliate
2864,Fattal
2865,V3 ANZ Hotels 
2866,Welcome Hotels Germany
2867,Travel Charme Hotels
2868,Arcona Hotels
2869,Seetel Hotels
2870,TUI Hotels and Resorts
2871,Upstalsboom Hotels 
2872,Future Inns Hotels
2873,Clifton Hotels
2874,Crossland Economy Studios
2875,Max Estates Ltd.
2876,Excellence Resorts
2877,Beloved Hotels
2878,Trump International
2879,HTop Hotels
2880,VIP Hotels
2881,Vienna International Hotels 
2882,One&Only Resorts
2883,DJH Germany
2884,Nippon Travel Agency
2885,Magnuson Managed
2886,Hallmark Hotels
2887,Kross Hotels
2888,Hilton Properties Worldwide MESO - PMI
2889,Patton Hospitality Management
2890,BBB Hotels
2891,B&B Ireland
2892,BBB2 Hotels
2893,TRYP by Wyndham
2894,Akkeron Hotels
2895,Eviivo RMS Hotels
2896,Principal
2897,Greene King
2898,Ace Hotel
2899,Escapade Parisienne
2900,Honotel
2901,Handpicked Hotels
2902,Emeraude Paris
2903,Art Hotels Paris
2904,Maurice Hurand Group
2905,Elegancia
2906,Baverez
